"Data";"Descrição";"Crédito";"Débito"
"02/10/2025";"Aplicação Conta Max";"578,83";""
"03/10/2025";"Aplicação Conta Max";"465,79";""
"06/10/2025";"Resgate Conta Max";"";"1.408,08"
"07/10/2025";"Aplicação Conta Max";"3.098,43";""
"08/10/2025";"Resgate Conta Max";"";"20,30"
"09/10/2025";"Aplicação Conta Max";"1.787,29";""
"10/10/2025";"Resgate Conta Max";"";"539,60"
"13/10/2025";"Resgate Conta Max";"";"1.204,04"
"14/10/2025";"Resgate Conta Max";"";"2.884,66"
"15/10/2025";"Aplicação Conta Max";"110,00";""
"16/10/2025";"Resgate Conta Max";"";"1.346,86"
"17/10/2025";"Aplicação Conta Max";"158,14";""
"20/10/2025";"Resgate Conta Max";"";"107,79"
"21/10/2025";"Aplicação Conta Max";"336,92";""
"22/10/2025";"Resgate Conta Max";"";"1.225,38"
"23/10/2025";"Aplicação Conta Max";"102,83";""
"23/10/2025";"Resgate Conta Max";"";"343,47"
"27/10/2025";"Aplicação Conta Max";"523,96";""
"28/10/2025";"Resgate Conta Max";"";"239,25"
"29/10/2025";"Aplicação Conta Max";"6.304,12";""
"30/10/2025";"Resgate Conta Max";"";"3.034,28"
"31/10/2025";"Resgate Conta Max";"";"709,89"
"31/10/2025";"Aplicação Conta Max";"1.629,43";""
"31/10/2025";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,16";""
